Date,WOPR:WP0(bbl/day),WOPR:WP1(bbl/day),WOPR:WP10(bbl/day),WOPR:WP11(bbl/day),WOPR:WP12(bbl/day),WOPR:WP13(bbl/day),WOPR:WP14(bbl/day),WOPR:WP15(bbl/day),WOPR:WP16(bbl/day),WOPR:WP17(bbl/day),WOPR:WP18(bbl/day),WOPR:WP19(bbl/day),WOPR:WP2(bbl/day),WOPR:WP20(bbl/day),WOPR:WP21(bbl/day),WOPR:WP22(bbl/day),WOPR:WP23(bbl/day),WOPR:WP24(bbl/day),WOPR:WP25(bbl/day),WOPR:WP26(bbl/day),WOPR:WP27(bbl/day),WOPR:WP28(bbl/day),WOPR:WP29(bbl/day),WOPR:WP3(bbl/day),WOPR:WP30(bbl/day),WOPR:WP31(bbl/day),WOPR:WP32(bbl/day),WOPR:WP33(bbl/day),WOPR:WP34(bbl/day),WOPR:WP35(bbl/day),WOPR:WP36(bbl/day),WOPR:WP37(bbl/day),WOPR:WP38(bbl/day),WOPR:WP39(bbl/day),WOPR:WP4(bbl/day),WOPR:WP40(bbl/day),WOPR:WP41(bbl/day),WOPR:WP42(bbl/day),WOPR:WP43(bbl/day),WOPR:WP44(bbl/day),WOPR:WP45(bbl/day),WOPR:WP46(bbl/day),WOPR:WP47(bbl/day),WOPR:WP48(bbl/day),WOPR:WP49(bbl/day),WOPR:WP5(bbl/day),WOPR:WP6(bbl/day),WOPR:WP7(bbl/day),WOPR:WP8(bbl/day),WOPR:WP9(bbl/day)
1-Jan-12,8.945507797,0,0,0,0,0,0,0,0,0,372.7464441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Feb-12,8.854878961,0,0,0,0,0,0,0,0,0,335.7487837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Mar-12,8.845838973,0,0,0,0,0,0,0,0,0,331.7038042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Apr-12,8.839577907,0,0,0,0,0,0,3483.552017,0,0,328.6792765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-May-12,8.834659127,0,0,0,0,0,0,3374.525497,0,0,326.1182527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.598605566
1-Jun-12,8.83085808,0,0,0,0,0,0,3303.352197,0,0,323.9996864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.567801549
1-Jul-12,8.827648922,0,0,0,0,0,0,3245.098305,0,0,322.0791732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.535837656
1-Aug-12,8.824968753,0,0,0,0,0,0,3185.653088,0,1484.466481,320.3608333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.490851576
1-Sep-12,8.822754673,0,0,0,0,0,0,3130.273538,0,1459.745523,318.8470253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237098562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.437667739
1-Oct-12,8.820783387,0,0,0,0,0,0,3077.372499,0,1439.459329,317.4119681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235173615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.377551064
1-Nov-12,8.819112134,0,0,0,0,0,0,3030.348207,0,1421.757508,316.1222413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234009512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31754698
1-Dec-12,8.817589325,0,0,0,0,0,0,2985.73871,0,1404.787529,314.8781988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233130201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.255267803
1-Jan-13,8.816232572,0,0,0,0,0,0,2944.552482,0,1388.84307,313.7097433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232423444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.193513212
1-Feb-13,8.815121758,0,0,0,0,0,0,2909.768027,0,1375.149992,312.7082621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231875598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.138459987
