WELL,X(ft),Y(ft),Completion,Elevation Kelly Bushing (ft)
WP0,137106.82,83818.47,Upper,193.32
WP1,132460.98,85832.77,Upper,187.15
WP2,133634.0,82144.52,Upper,164.55
WP3,140892.57,81747.12,Lower,179.92
WP4,109951.43,89343.45,Lower,186.21
WP5,123950.95,92227.31,Lower,172.8
WP6,111035.32,88692.32,Lower,182.66
WP7,112439.69,85560.85,Lower,181.09
WP8,127369.74,91739.99,Upper,180.04
WP9,115943.69,86730.44,Lower,178.25
WP10,134042.86,82411.27,Upper,184.33
WP11,115725.49,86866.6,Upper,192.03
WP12,133136.98,93691.55,Lower,170.35
WP13,119311.27,89234.02,Upper,190.28
WP14,134837.26,83865.82,Lower,182.29
WP15,109560.26,86833.62,Lower,184.45
WP16,112898.58,91601.46,Lower,168.63
WP17,112766.46,88549.74,Lower,181.35
WP18,117798.78,90645.7,Upper,194.85
WP19,110189.22,86209.71,Upper,169.2
WP20,133687.47,83554.44,Upper,160.22
WP21,121120.49,87804.64,Upper,162.57
WP22,115987.29,91854.91,Upper,182.66
WP23,139326.01,84776.42,Upper,203.85
WP24,142095.82,86042.02,Lower,191.24
WP25,128136.21,89359.95,Lower,196.73
WP26,118170.11,89488.69,Lower,180.99
WP27,129829.39,87756.99,Upper,193.98
WP28,120522.78,89987.0,Upper,177.29
WP29,138541.42,82281.79,Lower,186.13
WP30,131123.52,84356.27,Upper,177.33
WP31,136285.14,86479.95,Lower,174.51
WP32,128675.17,89882.13,Lower,181.33
WP33,123960.21,85279.28,Lower,175.24
WP34,134053.71,84658.45,Lower,193.08
WP35,122230.81,87539.37,Upper,181.95
WP36,111749.78,91050.01,Lower,184.0
WP37,134902.25,82632.62,Lower,176.62
WP38,116803.31,91177.75,Lower,192.56
WP39,111890.88,91708.68,Upper,172.68
WP40,126601.3,90679.21,Upper,186.6
WP41,114333.01,91616.66,Lower,176.49
WP42,136532.27,83571.51,Lower,170.61
WP43,115684.27,89895.78,Lower,175.11
WP44,118629.9,88703.87,Lower,171.95
WP45,129176.3,93171.14,Upper,177.87
WP46,139046.81,84476.47,Lower,176.61
WP47,137407.15,84099.13,Lower,183.12
WP48,124094.8,90648.76,Lower,185.65
WP49,123188.65,88556.29,Lower,178.53
